property_id,NARv[P]_time,Planet_time
1,47.74751925,995.3557253
2,373.2415655,819.2135518
3,2154.550383,1736.424338
4,205.4711301,826.8536768
5,397.944128,1075.37885
6,1225.268174,3071.976816
7,338.3254747,798.5862756
8,533.1504178,957.5560665
9,287.9457953,926.8392575
10,196.5679228,728.1932368
11,157.6743467,141.0581644
12,170.0906379,675.2520454
13,225.9722469,714.2904348
14,259.4925499,1066.450939
15,966.8533924,5208.308469
16,250.2658353,711.5037103
17,258.7675617,1177.934261
18,713.4472539,845.8790023
19,54.62451172,656.2063069
20,526.9989634,802.6792717
21,342.7457588,632.6819923
22,561.0978491,1608.386238
23,105.2496247,314.4276743
24,488.502135,1066.896723
25,511.6067944,1020.807109
